nome,descricao,preco,quantidadeestoque,categoria,imagemurl,codigobarras,status
Conjunto de Talheres,Conjunto de talheres de bambu com estojo,29.99,60,Cozinha,https://exemplo.com/imagens/conjunto-talheres.jpg,5511889900112,DISPONIVEL
Fatiador de Frios,Fatiador de frios manual com lâmina ajustavel,49.99,40,Cozinha,https://exemplo.com/imagens/fatiador-frios.jpg,5511990011223,DISPONIVEL
Batedor de Ovos,Batedor de ovos manual de inox,9.99,70,Cozinha,https://exemplo.com/imagens/batedor-ovos.jpg,5511112233445,DISPONIVEL
Espremedor de Alho,Espremedor de alho manual de inox,14.99,90,Cozinha,https://exemplo.com/imagens/espremedor-alho.jpg,5511223344556,DISPONIVEL
Forma de Gelo,Forma de gelo de silicone com 24 cavidades,9.99,100,Cozinha,https://exemplo.com/imagens/forma-gelo.jpg,5511334455667,DISPONIVEL
Termometro Infravermelho,Termometro digital com leitura instantânea,99.99,50,Saúde,https://exemplo.com/imagens/termometro-infravermelho.jpg,6611556677889,DISPONIVEL
Oxímetro de Pulso,Dispositivo para medir a saturacao de oxigênio no sangue,69.99,40,Saúde,https://exemplo.com/imagens/oximetro-pulso.jpg,6611667788990,DISPONIVEL
Nebulizador,Dispositivo para inalacao de medicamentos,149.99,30,Saúde,https://exemplo.com/imagens/nebulizador.jpg,6611778899001,DISPONIVEL
Aparelho de Pressao,Aparelho para medir a pressao arterial com precisao,199.99,20,Saúde,https://exemplo.com/imagens/aparelho-pressao.jpg,6611889900112,DISPONIVEL
Balanca Digital,Balanca digital para controle de peso,79.99,60,Saúde,https://exemplo.com/imagens/balanca-digital.jpg,6611990011223,DISPONIVEL
Medidor de Glicose,Medidor de glicose no sangue com tiras reagentes,59.99,50,Saúde,https://exemplo.com/imagens/medidor-glicose.jpg,6611112233445,DISPONIVEL
Inalador Ultrassonico,Inalador ultrassonico portatil para uso domestico,139.99,15,Saúde,https://exemplo.com/imagens/inalador-ultrassonico.jpg,6611223344556,DISPONIVEL
Massageador Eletrico,Massageador portatil para alívio de tensoes musculares,89.99,40,Saúde,https://exemplo.com/imagens/massageador-eletrico.jpg,6611334455667,DISPONIVEL
Purificador de Ar,Purificador de ar com filtro HEPA,199.99,25,Saúde,https://exemplo.com/imagens/purificador-ar.jpg,6611445566778,DISPONIVEL
Monitor Cardíaco,Monitor cardíaco com cinta peitoral,149.99,30,Saúde,https://exemplo.com/imagens/monitor-cardiaco.jpg,6611556677889,DISPONIVEL
Escova Dental Eletrica,Escova de dentes eletrica recarregavel,49.99,80,Saúde,https://exemplo.com/imagens/escova-dental-eletrica.jpg,6611667788990,DISPONIVEL
Cadeira de Massagem,Cadeira de massagem reclinavel com múltiplas funcoes,899.99,10,Saúde,https://exemplo.com/imagens/cadeira-massagem.jpg,6611778899001,DISPONIVEL
Luminaria de Mesa,Luminaria de mesa com LED ajustavel,29.99,60,Casa,https://exemplo.com/imagens/luminaria-mesa.jpg,6611889900112,DISPONIVEL
Ventilador de Torre,Ventilador de torre com controle remoto,79.99,50,Casa,https://exemplo.com/imagens/ventilador-torre.jpg,6611990011223,DISPONIVEL
Umidificador de Ar,Umidificador de ar compacto e silencioso,59.99,40,Casa,https://exemplo.com/imagens/umidificador-ar.jpg,6611112233445,DISPONIVEL
Purificador de agua,Purificador de agua com filtro de carvao ativado,99.99,25,Casa,https://exemplo.com/imagens/purificador-agua.jpg,6611223344556,DISPONIVEL
Cafeteira Eletrica,Cafeteira eletrica programavel para 12 xícaras,49.99,30,Casa,https://exemplo.com/imagens/cafeteira-eletrica.jpg,6611334455667,DISPONIVEL
Ferro de Passar Roupa,Ferro a vapor com base antiaderente,39.99,50,Casa,https://exemplo.com/imagens/ferro-passar.jpg,6611445566778,DISPONIVEL
Aspirador de Pó,Aspirador de pó portatil e potente,89.99,40,Casa,https://exemplo.com/imagens/aspirador-po.jpg,6611556677889,DISPONIVEL
Maquina de Lavar Roupa,Maquina de lavar roupa com diversas funcoes de lavagem,499.99,15,Casa,https://exemplo.com/imagens/maquina-lavar-roupa.jpg,6611667788990,DISPONIVEL
Fogao 4 Bocas,Fogao com 4 bocas e forno,299.99,20,Casa,https://exemplo.com/imagens/fogao-4-bocas.jpg,6611778899001,DISPONIVEL
Geladeira Duplex,Geladeira duplex com freezer,799.99,10,Casa,https://exemplo.com/imagens/geladeira-duplex.jpg,6611889900112,DISPONIVEL
Micro-ondas,Micro-ondas com funcao grill,129.99,30,Casa,https://exemplo.com/imagens/micro-ondas.jpg,6611990011223,DISPONIVEL
Processador de Alimentos,Processador de alimentos multifuncional,149.99,25,Casa,https://exemplo.com/imagens/processador-alimentos.jpg,6611112233445,DISPONIVEL
Grill Eletrico,Grill eletrico para grelhar carnes e legumes,69.99,50,Casa,https://exemplo.com/imagens/grill-eletrico.jpg,6611223344556,DISPONIVEL
Sanduicheira Eletrica,Sanduicheira eletrica com placas antiaderentes,29.99,60,Casa,https://exemplo.com/imagens/sanduicheira.jpg,6611334455667,DISPONIVEL
Torradeira,Torradeira com ajuste de temperatura e timer,29.99,80,Casa,https://exemplo.com/imagens/torradeira.jpg,6611445566778,DISPONIVEL
Purificador de Ar Compacto,Purificador de ar compacto e portatil,99.99,40,Casa,https://exemplo.com/imagens/purificador-ar-compacto.jpg,6611556677889,DISPONIVEL
Batedeira Eletrica,Batedeira eletrica portatil para massas e bolos,59.99,50,Casa,https://exemplo.com/imagens/batedeira-eletrica.jpg,6611667788990,DISPONIVEL
